Name,Price,Rating,Follows,Online,Peak
Super Mega Baseball™ 4,5999,71.04,2031,197,518
Plants vs. Zombies: Battle for Neighborville™,3999,70.48,51607,242,2545
Battlefield™ V,2699,70.24,259866,12116,116104
RISK™: Factions,0,69.75,2138,9,175
Need for Speed™,585,69.25,21060,693,1260
Rise of the Argonauts,1850,68.73,1805,2,203
F1® 22,0,67.84,43243,716,25172
Mass Effect 2 (2010) Edition,3629,67.73,993,38,66
EA SPORTS™ WRC,7199,67.68,18083,1097,4538
Battlefield 3™,2325,67.64,22401,219,1412
GRID,0,67.64,19408,36,1038
Battlefield™ Hardline,2325,67.54,6583,54,279
Operation Flashpoint: Dragon Rising,1850,66.68,15899,7,943
STAR WARS Jedi: Survivor™,10349,65.93,124289,5157,67855
Warp,1850,65.91,961,0,67
STAR WARS™: Squadrons,775,65.81,96128,388,36492
Shift 2 Unleashed,0,65.64,7020,12,400
STAR WARS™: The Old Republic™ - Public Test Server,0,64.83,93,3,157
Medal of Honor™: Above and Beyond,12799,61.01,16004,14,318
Burnout™ Paradise Remastered,1399,60.94,8501,116,599
Rocket Arena,0,60.48,5706,0,1136
Maelstrom: The Battle for Earth Begins,1050,60.21,577,0,65
Need for Speed™ Unbound,3219,60.0,64556,3106,14063
Populous™ II: Trials of the Olympian Gods,799,59.43,339,5,39
EA SPORTS™ FIFA 23,0,56.24,149808,6439,110878
EA SPORTS FC™ 24,4599,55.74,89547,72662,107359
DIRT 5,1775,53.05,14466,66,1203
Madden NFL 22,0,52.78,6472,70,5602
EA SPORTS™ PGA TOUR™,3219,51.22,3831,578,1796
Madden NFL 23,0,50.97,5950,178,6169
Madden NFL 21,0,50.28,6102,23,3226
WILD HEARTS™,8049,46.87,68252,199,28511
Damnation,1850,46.27,1083,0,69
Madden NFL 24,4599,44.55,5818,2446,9526
Battlefield™ 2042,2599,43.89,325920,16296,107376
Hospital Tycoon,1050,41.8,1235,0,356
Titanfall­™,0,40.07,6175,3,266
Micro Machines World Series,0,33.21,2691,1,248
Overlord: Fellowship of Evil,370,26.81,6930,0,275
Command & Conquer™ 4 Tiberian Twilight,5300,20.02,5304,55,1068
Battlefield 2,0,0.0,49638,8,1399
Dragon Age: Dreadwolf™,0,0.0,24167,0,0
Bulletstorm,0,0.0,7475,1,3208
F1® 24,22999,0.0,6094,0,0
The Sims(TM) Medieval,0,0.0,1428,0,208
Medal of Honor(TM) Multiplayer,0,0.0,630,1,3768
Crysis Wars,0,0.0,331,0,247
The Godfather,0,0.0,220,0,4
Godfather 2,0,0.0,188,0,3
Dragon Age II (Retired),0,0.0,180,0,19324
Crysis 2,0,0.0,179,2,8476
BattleForge,0,0.0,115,0,44
Warhammer Online: Age of Reckoning,0,0.0,38,0,2
Warhammer Online: Age of Reckoning,0,0.0,31,1,2
FIFA Manager 11,0,0.0,30,0,27
Battlefield Bad Company 2: Vietnam Pre-order,0,0.0,29,0,0
FIFA Manager 10,0,0.0,26,0,21
Dragon Age II,0,0.0,23,0,0
FIFA Manager 09,0,0.0,21,0,35
Dragon Age: Origins Character Creator,0,0.0,13,0,123
Shank pre-order,0,0.0,8,0,0
Deathspank Pre-order,0,0.0,5,0,0
