Title,Release date,Developer(s),Genre
The Sims 4: High School Years,2022-01-01,Maxis Redwood Shores,Simulator
NHL 23,2022-01-01,EA Vancouver,Sports
The Sims 4: My Wedding Stories,2022-01-01,Maxis Redwood Shores,Simulator
The Sims 4: Werewolves,2022-01-01,Maxis Redwood Shores,Simulator
Madden NFL 23,2022-01-01,EA Tiburon,Sports
FIFA 23,2022-01-01,EA Vancouver / EA Romania,Sports
It Takes Two,2022-01-01,Hazelight Studios,Action
Apex Legends,2022-01-01,Respawn Entertainment,Battle Royal
Need for Speed Unbound,2022-01-01,Criterion Games,Racing
GRID Legends,2022-01-01,Codemasters,Action
Immortals of Aveum,2023-01-01,Ascendant Studios,Action
Wild Hearts,2023-01-01,Omega Force,Action
NHL 24,2023-01-01,EA Vancouver,Sports
EA FC 24,2023-01-01,EA Vancouver / EA Romania,Action
EA Sports UFC 5,2023-01-01,EA Vancouver,Fighting
EA Sports WRC,2023-01-01,Codemasters,Sports
GRID Legends,2023-01-01,Codemasters,Action
F1 23,2023-01-01,Codemasters,Racing
The Sims 4: Horse Ranch,2023-01-01,Maxis Redwood Shores,Simulator
The Sims 4: Growing Together,2023-01-01,Maxis Redwood Shores,Simulator
EA Sports PGA Tour,2023-01-01,EA Tiburon,Sports
Dead Space,2023-01-01,Motive Studios,Shooter
Madden NFL 24,2023-01-01,EA Tiburon,Sports
Star Wars Jedi: Survivor,2023-01-01,Respawn Entertainment,RPG
Super Mega Baseball 4,2023-01-01,Metalhead,Sports
The Lord of the Rings: Heroes of Middle-earth,2023-01-01,Capital Games,RPG
The Sims 4: For Rent,2023-01-01,Maxis Redwood Shores,Simulator
Skate,2024-01-01,Full Circle,Action
Tales of Kenzera: Zau,2024-01-01,Surgent Studios,Action
Dragon Age: Dreadwolf,2024-01-01,BioWare,RPG
RustHeart,2024-01-01,Glowmade,Action
Untitled Star Wars strategy game,2024-01-01,Respawn Entertainment,RPG
Untitled game by Steve Fukuda,2024-01-01,Respawn Entertainment,Action
Project Rene - The Sims game,2024-01-01,Maxis,Simulator
Plants vs. Zombies 3: Welcome to Zomburbia,2024-01-01,PopCap Games,Tower Defence
Untitled Battlefield game,2024-01-01,DICE,Shooter
Untitled Black Panther game,2024-01-01,Cliffhanger Games,Adventure
Untitled Iron Man game,2024-01-01,Motive Studios,Adventure
Untitled Marvel game,2024-01-01,Unknown,Adventure
Untitled Mass Effect game,2024-01-01,BioWare,Action
Untitled Star Wars Jedi: Survivor sequel,2024-01-01,Respawn Entertainment,RPG
EA College Football,2024-01-01,Unknown,Sports
F1 24,2024-01-01,Codemasters,Racing
